WindowSize,BatchSize,clFFT (ns),cuFFT (ns),OCCA (ns)
64,2068752,563680,718816,6176
64,2071877,572640,725216,6016
64,2075002,561632,725472,5824
64,2078127,564640,724096,5312
64,2081252,565216,725248,5664
64,2084377,567328,726848,7104
64,2087502,567072,730048,5536
64,2090627,573312,728032,6336
64,2093752,566912,729632,15616
64,2096877,565568,731328,8256
64,2100002,567744,735424,6176
64,2103127,578912,732160,6368
64,2106252,565632,733088,6400
64,2109377,571968,734656,6848
64,2112502,575296,734656,6656
64,2115627,572992,736224,6528
64,2118752,576512,737440,6336
64,2121877,588288,740128,7648
64,2125002,573600,741248,6848
64,2128127,580992,742176,6944
64,2131252,575424,741408,6624
64,2134377,587648,743008,8672
64,2137502,579616,745664,6496
64,2140627,587360,744544,6784
64,2143752,580512,745792,7136
64,2146877,580352,747680,6272
64,2150002,584128,747520,9728
64,2153127,586656,751136,6592
64,2156252,585568,752128,6688
64,2159377,585568,750912,6240
64,2162502,589728,751360,6432
64,2165627,586720,751872,8288
64,2168752,593952,755456,6624
64,2171877,601120,760320,5824
64,2175002,589856,759488,5504
64,2178127,597440,756928,6240
64,2181252,587840,758880,8416
64,2184377,596352,760864,6272
64,2187502,591136,761376,6112
64,2190627,594944,763744,6144
64,2193752,601856,762656,6912
64,2196877,596736,766048,5888
64,2200002,609376,766688,5280
64,2203127,598304,770048,5888
64,2206252,597920,765824,5568
64,2209377,599072,768096,6688
64,2212502,597408,769760,5984
64,2215627,594592,769120,5856
64,2218752,604352,771296,6240
64,2221877,605056,771936,7424
64,2225002,615552,775136,6752
64,2228127,604480,775968,5600
64,2231252,609728,776832,6656
64,2234377,611904,776512,6784
64,2237502,607456,782496,6016
64,2240627,604480,777152,7168
64,2243752,610080,781312,6432
64,2246877,606944,783488,6912
64,2250002,605856,782016,7456
64,2253127,608192,784416,7104
64,2256252,607904,783168,6304
64,2259377,622368,786784,6656
64,2262502,609472,788992,5792
64,2265627,616160,787648,6624
64,2268752,624064,786752,7040
64,2271877,614304,788512,6016
64,2275002,613536,791104,5472
64,2278127,618752,792000,6880
64,2281252,619008,792448,7648
64,2284377,618464,794368,6176
64,2287502,625280,793376,6176
64,2290627,621888,794336,5760
64,2293752,633760,796320,5376
64,2296877,623808,801952,8128
64,2300002,621280,802144,6272
64,2303127,626720,800736,5600
64,2306252,624128,803136,5856
64,2309377,627264,802176,5600
64,2312502,623200,804768,5280
64,2315627,628768,807360,6048
64,2318752,627840,804640,7552
64,2321877,635232,807072,6528
64,2325002,622656,807264,5440
64,2328127,643840,809632,5632
64,2331252,633472,809696,6432
64,2334377,628096,808864,9184
64,2337502,631584,810144,8608
64,2340627,638240,812832,5472
64,2343752,635264,812064,6080
64,2346877,636544,814304,6688
64,2350002,634624,816064,6240
64,2353127,645792,820288,6432
64,2356252,648544,816800,6656
64,2359377,636992,816896,6848
64,2362502,644832,822560,6592
64,2365627,642368,821728,6400
64,2368752,639712,827488,15328
64,2371877,643680,828896,6976
64,2375002,643872,826592,8896
64,2378127,640576,826560,6144
64,2381252,641856,830752,6560
64,2384377,647648,827616,7424
64,2387502,641952,829536,6464
64,2390627,648992,828320,6624
64,2393752,654016,828640,9792
64,2396877,654560,831584,7424
64,2400002,652512,839264,7264
64,2403127,659008,834304,5920
64,2406252,649664,835744,8000
64,2409377,651008,834848,5728
64,2412502,648800,838528,5408
64,2415627,654720,839232,6592
64,2418752,656160,842400,6720
64,2421877,664032,843904,15168
64,2425002,656672,842752,5664
64,2428127,660736,841088,6208
64,2431252,654048,843712,5536
64,2434377,663424,842944,5344
64,2437502,660608,846400,13088
64,2440627,662848,846048,8864
64,2443752,656288,847584,5760
64,2446877,670560,848128,9248
64,2450002,660832,852896,5536
64,2453127,665248,856768,5600
64,2456252,670976,850496,5408
64,2459377,667040,850496,5696
64,2462502,671424,858368,4992
64,2465627,666400,855616,6240
64,2468752,672960,856192,5920
64,2471877,665856,861152,6272
64,2475002,665280,858912,8224
64,2478127,676224,856832,5888
64,2481252,670816,858272,5888
64,2484377,673376,859328,6304
64,2487502,670080,866368,11200
64,2490627,672704,862528,6304
64,2493752,671904,863456,5920
64,2496877,679680,864960,5856
64,2500002,676576,865248,6720
64,2503127,679040,866848,6976
64,2506252,675200,867488,6624
64,2509377,683424,874656,6656
64,2512502,681792,870112,8640
64,2515627,681824,872736,6496
64,2518752,679680,871616,6528
64,2521877,680576,875232,6880
64,2525002,684064,875168,7328
64,2528127,687616,876480,6912
64,2531252,679392,879552,7584
64,2534377,687424,877792,6048
64,2537502,686752,877536,6272
64,2540627,684384,879872,6048
64,2543752,684224,880352,10752
64,2546877,692928,880512,5888
64,2550002,687072,882816,6080
64,2553127,689472,884192,5504
64,2556252,696288,885856,12320
64,2559377,694368,891936,7360
64,2562502,695072,887232,6112
64,2565627,692640,889600,5504
64,2568752,703584,890176,5984
64,2571877,696992,893952,9696
64,2575002,701024,891904,6112
64,2578127,694496,896608,6656
64,2581252,701152,892608,5088
64,2584377,707200,894816,6176
64,2587502,696704,894816,4704
64,2590627,698720,897440,5472
64,2593752,697024,902016,5312
64,2596877,698368,901760,6496
64,2600002,704544,898944,4864
64,2603127,697952,900896,5920
64,2606252,704576,902496,5536
64,2609377,711648,907552,6400
64,2612502,701536,904704,6208
64,2615627,700928,905312,7808
64,2618752,703008,906912,5408
64,2621877,709632,906816,6464
64,2625002,706368,909792,6208
64,2628127,714240,910368,6144
64,2631252,712480,909728,5376
64,2634377,710656,913824,9984
64,2637502,713216,914048,6656
64,2640627,714688,915552,6016
64,2643752,713344,915136,5856
64,2646877,713888,919008,6688
64,2650002,710848,918272,6368
64,2653127,711296,917056,6880
64,2656252,715584,919744,6272
64,2659377,723296,921536,6208
64,2662502,716928,922688,9568
64,2665627,719744,922016,16448
64,2668752,717472,922784,6080
64,2671877,723296,924128,5504
64,2675002,717760,924768,5504
64,2678127,726016,929504,6816
64,2681252,726784,927808,6112
64,2684377,721248,927776,5600
64,2687502,726400,929824,4992
64,2690627,724608,930944,5792
64,2693752,725408,932128,6080
64,2696877,729696,934080,8224
64,2700002,721248,934368,5120
64,2703127,727584,934816,5984
64,2706252,727712,941792,6400
64,2709377,731264,939008,5984
64,2712502,731776,937280,6368
64,2715627,743072,938752,6624
64,2718752,731104,940352,5728
64,2721877,732288,944800,5984
64,2725002,738208,942816,6432
64,2728127,736768,944736,5728
64,2731252,735744,945504,5952
64,2734377,737600,948704,6176
64,2737502,742816,945472,6112
64,2740627,742176,949056,5472
64,2743752,748032,948576,5376
64,2746877,739872,949024,6240
64,2750002,737664,950368,5408
64,2753127,740640,951488,5184
64,2756252,746464,952384,5728
64,2759377,741984,954496,7392
64,2762502,754240,962816,6112
64,2765627,748064,955808,5472
64,2768752,743584,955776,6944
64,2771877,743616,963296,7552
64,2775002,742688,959872,6400
64,2778127,755776,961856,6400
64,2781252,764608,962816,6080
64,2784377,747360,966656,6496
64,2787502,748288,966080,6560
64,2790627,749376,966784,6592
64,2793752,760960,967264,7008
64,2796877,755968,966752,6784
64,2800002,768384,968224,5952
64,2803127,754560,970560,7072
64,2806252,758144,980736,6240
64,2809377,759840,970176,5568
64,2812502,756704,973760,6144
64,2815627,766144,973568,6336
64,2818752,768576,975680,5696
64,2821877,756000,980096,8512
64,2825002,767104,977088,6016
64,2828127,763232,980672,5920
64,2831252,763360,978432,6560
64,2834377,768448,984032,6368
64,2837502,772832,979200,5888
64,2840627,765664,982816,5856
64,2843752,766272,982144,5472
64,2846877,764480,987776,5888
64,2850002,767136,984256,6016
64,2853127,775040,986688,5728
64,2856252,771392,989472,4896
64,2859377,770080,987648,6112
64,2862502,770656,992960,5792
64,2865627,774496,989312,5184
64,2868752,771168,991392,5952
64,2871877,767488,995264,6496
64,2875002,780992,994528,6048
64,2878127,772000,996480,5120
64,2881252,783744,994528,5312
64,2884377,788064,996800,5760
64,2887502,781728,997216,5568
64,2890627,780864,999776,5888
64,2893752,775584,997920,13376
64,2896877,783328,999008,6464
64,2900002,779072,1002272,6240
64,2903127,781088,1007680,7296
64,2906252,787392,1049792,6720
64,2909377,782880,1005535,6304
64,2912502,786368,1008800,7040
64,2915627,786592,1005408,6592
64,2918752,785536,1007519,5824
64,2921877,784608,1013695,7424
64,2925002,795872,1013632,6912
64,2928127,800224,1012256,7232
